Company Name,URL,Industry
NVIDIA,https://www.investing.com/equities/nvidia-corp-ratios,Semiconductors & Semiconductor Equipment
Microsoft,https://www.investing.com/equities/microsoft-corp-ratios,Software & IT Services
Apple,https://www.investing.com/equities/apple-computer-inc-ratios,"Computers, Phones & Household Electronics"
Alphabet C,https://www.investing.com/equities/google-inc-c-ratios,Software & IT Services
Alphabet A,https://www.investing.com/equities/google-inc-ratios,Software & IT Services
Amazon.com,https://www.investing.com/equities/amazon-com-inc-ratios,Diversified Retail
Meta Platforms,https://www.investing.com/equities/facebook-inc-ratios,Software & IT Services
Berkshire Hathaway A,https://www.investing.com/equities/berkshire-hathaway-inc-ratios,Consumer Goods Conglomerates
Broadcom,https://www.investing.com/equities/avago-technologies-ratios,Semiconductors & Semiconductor Equipment
Eli Lilly,https://www.investing.com/equities/eli-lilly-and-co-ratios,Pharmaceuticals
Taiwan Semiconductor,https://www.investing.com/equities/taiwan-semicond.manufacturing-co-ratios,Semiconductors & Semiconductor Equipment
Novo Nordisk ADR,https://www.investing.com/equities/novo-nordis-ratios,Pharmaceuticals
Tesla,https://www.investing.com/equities/tesla-motors-ratios,Automobiles & Auto Parts
JPMorgan,https://www.investing.com/equities/jp-morgan-chase-ratios,Banking Services
JPMorgan Chase Pref EE,https://www.investing.com/equities/jpmorgan-chase-pref-ee-ratios,Banking Services
Jp Morgan Gg Pref,https://www.investing.com/equities/jp-morgan-chase-ds-series-gg-pref-ratios,Banking Services
Visa A,https://www.investing.com/equities/visa-inc-ratios,Software & IT Services
Walmart,https://www.investing.com/equities/wal-mart-stores-ratios,Food & Drug Retailing
Tencent Holdings,https://www.investing.com/equities/tencent-holdings-hk-ratios?cid=53031,Software & IT Services
Tencent ADR,https://www.investing.com/equities/tencent-holdings-pk-ratios,Software & IT Services
UnitedHealth,https://www.investing.com/equities/united-health-group-ratios,Healthcare Providers & Services
Exxon Mobil,https://www.investing.com/equities/exxon-mobil-ratios,Oil & Gas
Mastercard,https://www.investing.com/equities/mastercard-cl-a-ratios,Software & IT Services
ASML Holding,https://www.investing.com/equities/asml-holding-ratios?cid=15470,Semiconductors & Semiconductor Equipment
ASML ADR,https://www.investing.com/equities/asml-holdings-ratios,Semiconductors & Semiconductor Equipment
P&G,https://www.investing.com/equities/procter-gamble-ratios,Personal & Household Products & Services
Oracle,https://www.investing.com/equities/oracle-corp-ratios,Software & IT Services
Costco,https://www.investing.com/equities/costco-whsl-corp-new-ratios,Diversified Retail
